Street,zipcode
2912 E 12Th,78702
12500 Amherst,78727
3225 Oak Aly,78745
S Mopac Expy And Lake Austin Blvd,78703
10801 Sierra Oaks,78759
Meadow Creek Dr,78745
5601 Manchaca Rd,78745
14713 Noya Dr in Travis,78728
South Ec,78745
8111 Elkhorn Mountain Trail,78729
1156 W Cesar Chavez,78703
S 1St And Hwy 71,78704
Radam And Normandy,
Bullard/Northland,78731
Travis Country Circle,78735
18619 Hamilton Pool Rd in Travis,78738
Laird Dr & Pequeno St,74058
4106 N Lamar Blvd,78756
Thaxton Road/Salt Springs,78747
200 W Carrie Manor in Manor,78653
4020 S Interstate 35,78704
Stassney/Emerald Forest,78745
Stassney And Gobi,78745
38Th,
1600 City Park Road,78730
4501 E. Ben White,78741
12621 Hymeadow Dr Unit 205,78729
0000 Landsman Dr,78736
2603 Hidden Oaks Drive,78745
2018 W Rundberg Lane,78758
6015 Kidneywood Trl.,78735
2901 Breeze Terrace,78722
11530 Loweswater,78754
200 East Martin Luther King Junior Boulevard,78712
W Slaughter Ln And Manchaca Rd,78748
Far West Blvd And Hart Ln,78731
9903 Sausalito Dr,78759
Pegram And Shoal Creek,78757
404 Ramble Ln,78745
1941 Gaston Pl #313,78723
15909 Awalt in Travis,78734
Hwy 360 /Barton Plaza,
7207 A Tumble Weed Dr,78724
Lyons And Linden,78702
Kay Street,78702
1210 Barton Springs,78704
2308 London in Travis,
12100 Fm 973 in Travis,78653
5705 Thunderbird in Lago Vista,78645
6920 Broad Brook Dr,78747
8324 Alum Rock Dr,78747
Stassney Ln And Ih 35,78745
Wm Cannon And I35,78744
701 W Longspur,78753
11328 Ashbrook,78652
Guadalupe St & Delafield Ln,
Shoal Creek Blvd And Hancock Dr,78756
6219 Oakclaire Dr,78735
3611 Brifal Path,78703
Adelphi Lane & Mercury Lane,
South 1St Street And Highway 71,78704
I 35 & Slaughter Ln,
51St And Grover,78756
Lamplight Village Ave & Rodeo Dr.,
8500 Cornwall Dr,78748
East Oltorf Street And Parker Lane,78741
2005 Willow Creek,78741
2020 Kenwood Dr,78704
Manor Road And Stafford Street,78722
6503 Starstreak Dr,78745
Viewpoint/Nuckols Crossing,78744
11116 Middle Fiskville Rd,78753
Wagon Trl And Abilene Trl,78749
12401 N Lamar,78753
6508 Sierra Vista in Travis,78645
4909 Woodrow,78756
14028 N 183,78717
6000 Tara Dr,78744
2400 E Oltorf St,78741
Powell And Georgian,78753
4000 Clawson,78704
Gaines Mill Ln And Manassas Dr,78745
Rowe Loop And Rowe Ln in Pflugerville,78660
5801 Ainez Dr,78744
11806 Shropshire,78753
Shoal Creek Dr W And Treadwell Blvd,78757
Pinkney Ln/Londonshire Ln,78739
8203 S 1St,78748
7001 E Meadow Bend,78724
Ih35/ St Johns,
8520 New Hampshire Blvd,78758
5106 Village Square,78744
Belford/Mullen,78757
4606 S 1St,78745
Pflugerville,
4020 Lost Oasis Hollow,78739
5004 Allyson Ct,78744
9200 Queenswood Dr,78748
9202 Kempler,78748
W Parmer Ln & Avery Ranch Blvd,
6123 Valient Cir #A,78749
11605 Buckingham Rd,78759
6910 Drexel Drive,78723
6001 W Parmer Ln,78727
Dessau Rd And Braker Ln,78754
Lovell Dr. & Windy Brooks,72762
12403 Alderbrook Dr,78758
Westcreek And Cana Cv,78749
183 And Jollyville,78759
4700 Rue Le Fleur,78744
8740 N Lamar Blvd,78753
Crossing Place And Riverside,78741
Crossing Place /Riverside Dr,78741
15000 Fm 1826 in Travis,78724
1916 Tillotson Ave,78702
1802 Cherry Orchid,78745
Plains Valley Drive,78617
7229 Apperson St in Del Valle,78617
11615 Pearwood Pl,78758
Chimey Rock Drive And Willow Bend,78758
Signal Hill Dr And Rimrock Trail,78737
2319 E Stassney,78744
1119 Kirk Ave,78702
Duval Rd And Amherst,78727
12311 Fay in Manor,78653
Teri Rd And Nuckols Crossing Rd,78744
5207 Brodie Ln,78745
124 W Anderson Ln,78752
Ohlen And Whitman Cv,78757
400 W Anderson,78752
Duval And 183,78759
2800 S 5Th,78704
Tx 130 Service Rd & E Pecan St in Pflugerville,78660
7106 Oak Forest Lane,78736
8208 Georgie Trace,78747
1109 Echo Ln,78745
35Th And Grooms St,78705
10609 Portrush in Travis,78747
Slaughter/ Manchaca,78748
11160 Jollyville Rd #1008,
S. Congress & Industrial,78704
Abilene Trail And Smokehouse Trail,78749
1009 W Dittmar Rd,78745
7904 Persimmon Trl,78745
Anderson Mill Rd And Burmaster Ln,78750
Pablo Blanco And Stassney Ln,
7601 Daffan Ln,78724
6516 W Colton Bluff Springs Rd,78744
1901 Chicon,78702
1807 Anita Drive,78704
510 El Paso St,78704
20624 Commons in Travis,78660
1156 Cesar Chavez,78703
Julieanna,78702
11724 Dubfries Lane,78754
6900 Pleasant Valley,78744
8000 Brown Cemetary Rd in Travis,78653
3400 Dolphin,78704
South Lamar /Blue Bonnet,78704
S Lamar,
Springdale Rd & E 51St St,08003
S Pleasant Valley Rd & E Stassney Ln,
1212 Garden St.,78702
1800 E Stassney Ln,78744
4434 Frontier Trail,78745
E Cesar Chavez St & Robert,
2115 Holly St,78702
1137 Gunter St,78721
Romeria Dr And Woodrow Ave,78757
Wagon Train Cv,78749
Lago Vista,78645
Pasadena,78757
8511 Burnet Rd,78757
W Parmer Ln & Mcneil Dr,
Decker Ln And Loyal Ln,78724
D-K Ranch Rd And T-Bar Trl,78759
11511 Angus Rd,78759
12058 East Applegate Dr,78753
3333 Crispin Hall Ln in Travis,78660
12900 No. I-35 Svc Rd Sb,78753
5700 Convict Hill,78749
W Braker Ln & Hornsby Ln,
1941 Gaston Place Dr #334,78723
2200 Quicksilver,78744
W 45Th St & Bull Creek Rd,10036
13516 Gilwell in Del Valle,78617
9008 Collinfield,78758
Redbud And Westlake Dr,78746
5704 Thames Dr,78723
2400 Audubon,78741
300 Croslin St,78752
1200 E 52Nd St,78723
N Lamar & Longsour,
8401 Kimble Cv,78757
2143 Barton Hills Dr,78704
5217 Old Spicewood Springs Rd,78759
12800 Harrisglenn Dr,78753
2309 Berkeley,78745
9713 Oak Hollow,78758
6405 Clubway,78745
Ranch Road 2222 & Grover Ave,
6909 Carver Ave,78752
12221 Mopac Service Rd,78759
909 Navasota Street,78702
Suena Dr And Vasquez St,78741
1900 Chicon St,78722
6709 W Kings Point,78723
Circle C / Vintage Place,
2206 Mountain View Dr,78703
5503 B Fernview Rd,78745
Silvermine & Red Willow,65616
902 W Meadowmere Ln,78758
13013 Noche Clara in Del Valle,78617
123000 Hw 71 West in Bee Cave,
12500 Sky Harbor,78617
3721 Hwy 620,
2924 Thrushwood Dr,78757
8115 Westgate,78745
Mwtric Blvd And Cedar Bend,78758
7132 Highway 71 West,78735
2600 Gracy Farms Ln,78758
1125 Salina St,78702
Westgate And Davis Lane,78745
Us-183 & Loyola Ln,
Chicon And 4Th,78702
1607 Garden,78701
Riverside & Montopolis,
Montopolis Dr/E Riverside Dr,78741
2529 Winsted,78703
7112 Ed Bluestein Boulevard,78723
1111 Crown Ridge,78753
9715 Ochiltree Dr,78753
Barbara Jordan Blvd,78723
12311 Little Emily Way,78753
3808 S. 1St St,78704
Apple Orchard And Cottonwood St,78744
Valerian Tea Dr & Peppermint Trl,78660
47Th /Ave F,78751
N Lamar Blvd & San Gabriel St,
North Pleasant Valley Road And East 5Th Street,78702
5762 N Mopac Expressway Northbound,78731
12221 North Mopac,78759
Archeleta Blvd & Rain Lily Dr,78739
Riverside Dr And Lakeshore Ave,78741
8011 Beckett Rd,78749
N Capital Of Texas Hwy & Spicewood Springs Rd,
Wincup Willow in Travis,
Stassney Lane & Knuckles Crossing,78745
6200 Tara Dr,78744
8401 Hathaway Drive,78757
Chisos Pass And Raton Pass,78724
E 11Th St & Chicon St,
5302 Hwy 71 10B in Travis,78617
3209 S Ih 35,78741
Hwy 71 And Old Bee Caves Road,78736
1115 E 3Rd,78702
1115 E 3Rd St,78702
4807 Clear View in Travis,78725
1701 Em Franklin,78721
Prado St,78702
4603 Nuckols Crossing,78744
Mt Vernon Dr And Green Forest Dr,78745
Lamar Blvd And Longspur,78753
Panadero Dr Thaxton Dr,78747
Springdale And Webberville,78721
East Stassney & Teri Road,
5800 Teri Rd.,78744
East Highway 290 in Manor,
1302 Parker Ln,78741
6300 Ken Caryl Drive,78747
11501 Century Oaks Terrace,78758
408 W Dittmar,78745
168 Tiffany Trail,78719
Walton Ln And Bolm Rd,78721
Brody Ln And Harpers Ferry Ln,78745
S 1St St & Mulberry Dr,78704
Slaughter Ln & Manchaca,
2705 Rundberg,78758
969 And Hunters Bend,78725
2417 Blue Meadow Dr,78744
10611 Golden Quail Dr,78758
4703 S Congress,78745
8800 S 1St St,78748
4601 East St Elmo,78744
5426 Manchaca  #225,78745
7244 Wardman Drive in Travis,78617
13430 Onion Creek Dr in Travis,78652
7315 Cooper Ln,78745
Fm 969 And Astor Place,78721
Yeager Lane And Parmer Lane,78653
4900 Hilldale Drive,78723
12200 Carl Rd in Creedmoor,78610
Roanoke Dr And Loyola Ln,78723
5918 Kevin Kelly Place,78727
Lakeway,
2200 Berkeley Ave,78745
10420 Fm812 in Travis,78719
Raspberry Rd And Azalea Blossom,78748
5108 Mcdade Dr,78735
8403 Mesa Drive,78759
4609 Trail Crest Cir,78735
5208 Canella,78744
Dittmar,
Glenview Ave And W 29Th St,78703
12017 Amherst Drive,78759
8900 Shoalcreek Blvd,78757
100 W St Johns,78752
11901 Pavilion,78759
1605 Woodlawn,78703
E 51St St & Manor Rd,
1803 Cedar Ridge Dr,78741
12606 Johnson Rd in Manor,78653
7727 Burnet Rd,78757
Brandt Dr And Pringle Cir,78742
1400 Pringle Cir,78742
12801 N Lexington St in Manor,78653
Manchaca Rd And Inverness Blvd,78745
Natural Spring Way,78728
2300 North Loop,78756
0000 E 14Th 1/2 St,
3008 Yellow Pine,78757
Slaughter And Manchaca,78748
2222/Mt Bonnell,78731
Cameron & I-35,74146
S 1St St  W St Elmo Rd,78745
Monarch And Curlew Dr,78748
Elroy And Plover Pl in Travis,78617
1203 Springdale Rd,78721
E 51St St And Ih 35,78751
5604 Southwest Parkway,78735
Westgate Blvd & Lazy Oaks,34747
3001 Harris Park Avenue,78705
9909 North Lamar,78753
6701 Cruz St,78741
10520 North Lamar Boulevard,78753
Lanier & Bowling Green,74112
4021 S Capital Of Texas Hwy,78704
10011 Derringer Trl,78753
51St St,
Bennet Ave,
5300 Apple Orchard,78744
S 1St  St And St Elmo,78745
South Congress And E Stassney Ln,78745
St Elmo/S 1St St,78745
5403 Aldford Dr,78745
2409 Mantague Dr,78741
5007 Mendoca Dr,78721
Patton And Vanderbilt,
6902 Deep Cir #A,78744
Shady And Airport Blvd,78702
1304 Willow St,78702
2705 Princetron Drive,78741
4711 Sara Drive,78721
1511 Cripple Creek Dr,78758
11846 Jollyville,78759
12221 N Mopac,78759
7600 Carver Ave,78752
Exposition And Enfield,78703
2401 Manor Rd,78722
Kanavagh,78748
910 Fiesta,78702
Loyola Ln And Kings Point,78723
4800 Shaw Ln,78744
Norht Ec,
Elroy And 130 in Travis,
Deer Canyon Trail in Travis,78645
E Cesar Chavez St & N Pleasant Valley Rd,
4308 Scarbrough,78759
Berkman And Rogge,78723
1600 Wells Branch Pkwy in Travis,78728
Convict Hill & S Mopac Service Road,
Croson Lane in Manor,78653
4471 Trail Crest Circle,78735
4434 Frontier,78745
Millwright Pkwy.,78750
9601 Carson Creek Blvd,78617
9510 Carson Creek,78617
Rockland Dr,78748
5400 Tx-71 in Travis,78617
W Rundberg Ln & Georgian Dr,
9300 Block West Hwy 71,78736
Slaughter Lane,
1010 Linden Street,78702
1088 Park Plaza,78753
Banaster & Southridge Dr,56370
7618 Lunar,78745
9625 Covy Ridge Ln,78758
Ponca St And Montopolis,78741
Galesburg/Harpersferry,78745
Harris Branch Pkwy And Speyside Dr,78653
Boothill Dr,78748
1701 Westmoor Dr,78723
Bouldin Ave & Monroe St W,78704
7020 Grand Canyon Dr,78752
7102 Meadow Bend,78724
W Stassney Ln & Emerald Forest Dr,78745
Joy Lane,78757
Putnam Drive,78757
1180 Sol Wilson Ave,78702
Congress And Stassney,78745
S 1St St,
183 & Manor Road,75062
1112 Haverford Dr,78753
3103 Jeanette Ct,78745
5802 Avery Island,78727
9616 N Lamar Blvd,78753
903 W Village Ln,78758
Lamar Blvd And 183,
3200 Duval,78705
7212 Southwind Dr,78745
509 W 16Th St,78701
910 East 55Th 1/2 Street,78751
321 Angel Oak St,78748
North Ec,78758
Pleasant Valley,78741
183 & Research Blvd,75062
2807 Cameron Loop #4,78745
West Lynn And 9Th St,78703
3401 Redbud Trl,78746
Shively Ln And Guerrero Ln,78747
Wm Cannon And Sunstrip Dr,78745
Elm Creek Dr & Nogales Trail,60126
4010 1327,
S. 1St & William Cannon,78704
S 1St First And Meadow Lea Dr,78745
14700 Earl Grey Ln in Travis,78660
Manchaca Rd And Slaughter Ln,78748
N Lamar Blvd & W Rundberg Ln,
Greyledge And Hermitage,78753
Manchaca Road And Berkley Avenue,78745
4700 Little Hill Circle,78725
2347 Douglas St,78741
2003 Kenwood Ave,78704
E 9Th St And Concho St,78702
8028 Gessner,78753
Walnut Creek Park Rd/N Lamar Blvd,78753
Whole Foods In Domain,78758
7301 Metro Center,78744
5530 Killingsworth in Travis,78660
1311 Collinwood West,78753
4412 Marathon Bvd,78756
Dessau & Shropshire,
Riverside Dr And Montopolis Dr,78741
Vargas Rd And Santos St,78741
S 5Th St & Brodie St,50010
S 5Th St & W Johanna St,50010
3501 Ambleside,78759
Village Center Drive And Far West Boulevard,78731
Greybull Trail/Buckaneer,78729
3902 Chase Dr,78729
507 Bear Canyon Drive,78652
Crystalbrook Dr And Boulder Creek,78724
Geoffs And Marshitas Way,78748
Brodie Ln & Alexandria Dr,
Lehigh Dr And Northeast Dr,78723
Wm Cannon And Manchaca,78745
Frontier,78719
13400 Marie Ln in Manor,78653
300 Ferguson Rd,78753
Copperbend,78744
Great Britian /S 1St,78748
8220 W Sh 71,78735
5813 Breezewood Dr,78745
201 E. Parsons in Manor,78653
Guadalupe/Airport,78752
6300 Us-290,78735
Piedras Blanco,78747
10400 Parkfield Dr,78758
1005 Bird Creek Drive,78758
1St & Matthews,74135
1St And Meadow Lea,78745
7209 Barnsdale Way,78745
4236 Iriona Bend,78749
Slayton Dr And Glenn Ln,78753
15365 Jacobson Road in Travis,78617
Cesar Chavez/,
14967 Swiss Dr in Travis,78617
Bronco Bend Loop,78744
River View St,78702
2302 E. William Cannon,78744
Walnut Creek,
9000 Manchaca,78748
Cedar Park,
8600 Fathom Cir,78750
912 Grey Castle in Pflugerville,78660
10801 Old Manchaca Rd.,78748
11701 Woodland Hill Trl,78732
Sweet Clover/Minnesota,78745
1600 Wickersham Ln,78741
Justin Ln,
7015 Cooper Ln,78745
900 Nalide St,78745
6508 Libyan Drive,78745
4208 Kings Court in Travis,78725
15302 Storm in Travis,78734
2701 E 7Th St,78702
7000 Decker Ln,78724
1401 St Edwards Dr,78704
2703 Crownover St,78725
12524 Briarcreek Loop in Travis,78653
12216 Buzz Schneider Ln,78748
11208 Amaranth Ln,78754
9408 Dessau,78754
12Th & Airport,75012
Slaughter & United Kingdom,74016
Slaughter Ln And Manchaca Rd,78748
15101 Nordyke Ln,78725
9009 Georgian Drive,78753
8820 W. Hwy 71,78735
7905 San Felipe Blvd,78729
San Bernard,78702
1705 Melissa Oaks Ln,78744
12138 N Lamar,78753
6607 Brodie Ln,78745
4500 Block Sherwyn Dr,78725
12435 Dessau,78754
12345 Dessau,78754
3005 South Lamar,78704
5200 Block Of Woodland Oaks Ct,78744
7204 Curpin Cv,78754
7Th Street And Pleasant Valley,78702
Chicon Street And East 7Th,78702
Gonzales And Pleasant Valley,78702
Research And,78745
6616 Plains Crest in Travis,78617
204 West Powell Lane,78753
401 Little Texas Lane,78745
6614 Hergotz Ln,78742
Merchants Tale Ln And Canterbury Tales Ln,78748
Slaughter Lane & Manchaca Road,
Thaxton And Panadero,78747
Panadero And Thaxton,78747
Ross Rd And Pearce Ln in Travis,78617
Ross Rd And Pearce Ln in Del Valle,78617
Montopolis,78741
Powell Lane E And Ih 35,78753
High Sierra/Carriage Hills in Manor,78653
Williamson,78736
William Cannon And Manchac,78745
Hays,78610
8501 Dittmar Oaks,78748
Cesar Chavez And Pleasant Valley,78702
12419 Metric,78758
6101 Old Lockhart Rd in Creedmoor,78747
2000 E William Cannon,78744
4708 Carsonhill Drive,78723
7224 Northeast Dr,78723
290 & Sawyer Ranch Rd,66067
2121 W. William Cannon,78745
909 Kavanagh,78748
12304 Sky Harbor,78617
11408 Liberty St in Travis,78653
Rosewood & Springdale,74075
6011 Pino,78744
5808 Mckinney Falls Parkway,78744
2009 West Loop,78758
2009 West Loop #B,78758
6202 Langham Street,78741
S 1St And Dittmar,78748
Kevin Taylor Dr And Huddleston Ln,78745
1503 Morgan Ln,78704
607 Woodward Street,78704
2137 Callingwood,78754
1100 East Oltorf,78704
620/Bee Caves,78738
7825 Elkhorn Mountain Trail,78729
Delano St And Hudson,78721
Merle Dr,78745
5413 Tipton,78723
5005 Bundyhill,78723
1508 Southport Dr,78704
12512 La Paz in Del Valle,78617
7932 West Rim Dr,78731
124 Anderson Ln,78752
3614 Bill Price in Travis,78617
Stassney & Westgate,
S Congress And Wm Cannon,78745
5205 Holmont Dr,
3100 Rogge,78723
Rogge Dr And Chadwyck Dr,78723
2508 Wheless Ln,78723
Hog Eye Road And Decker Lane,78724
2800 Lyons Rd,78702
Riverside And Montopolis,78741
3048 Steiner Ranch Blvd in Travis,78732
Perry St And Lux,78721
18200 Carlson Rd in Travis,78615
Heartsmith/Ethridge,78703
1100 West 49Th Street,78756
Parkfield Drive And Woodfield,78758
Brodie Ln And Gatling Gun Ln,78739
3707 Manchaca Rd,78704
3700 Manchaca Rd,78704
Hargrave And Neal,78702
11317 Cameron Rd,78754
5907 Camino Seco,78731
407 Meadow Lea Dr,78745
11405 Darrin Ln in Travis,78617
Bee Caves Road @ Hwy 71 in Travis,78738
Brackenridge & Outfitter Dr,72632
1200 Vargas Rd,78741
Bouldin Ave & W Live Oak St,78704
Hwy 620 And Anderson Mill,78726
104 Florence Drive,78753
3400 S Congress Ave,78704
Rutland And Metric,78758
14950 Swiss Dr in Travis,78617
6301 West Slaughter Lane,78739
13229 Briarcreek Loop in Manor,78653
Harris Branch Parkway And Parmer Lane,78653
W Slaughter Lane,
Slaughter Ln,
2702 E Cesar Chavez St,78702
4400 Quicksilver Blvd,78744
Berkman/Broadmoor,78723
Old Manchaca Rd & Drew Ln,78748
10505 Scotland Well Dr.,78750
1102 Huntridge,78758
1412 Lance Way,78758
1411 Lance Way,78758
1414 Gorham Street,78758
11602 Swearingen,78758
11408 Toledo Dr,78759
7710 Hardy Dr,78757
1611 Wethersfield Dr,78703
2114 New Slaughter,78748
Riverside And Congress,78704
Singletree,78727
8103 View Ridge,78724
1109 South Pleasant Valley,78741
Barton Hills Dr & 4 Oaks Ln,78704
South Lamar & Panther St,78704
6813 Point North,78724
Mckinney Falls And Dee Gabriel Collins,78744
2002 Nightview,78660
Lariat Trl And Lawrence Dr,78734
General Williamson Dr,78734
General Williamson Drive,78734
14201 Vandever St,78725
812 Patchway Ln,78748
East St Johns Avenue And Meador Avenue,78752
Valburn Court,
10706 Plains Trl,78758
402 W Parson in Travis,
Pioneer Forest Dr And Outwood Mill Ln,78744
7803 Flatrock in Travis,78737
2505 Patsy Parkway,78744
1601 E Slaughter,78747
Rusty Dr & Singlefoot,97520
W Slaughter Lane And Manchaca Rd,78748
E Oltorf St & Parker Ln,
Edmundsbury Dr & Milton Lease Dr,78747
5504 Manor,78723
2010 Kirksey Dr #D,78741
S 5Th & W Gibson,60153
1701 Vargas Rd,78741
11900 Hobby Horse Ct,78758
9831 Weir Loop Cir,78736
2300 W North Loop # 206,78756
Barton Hills Dr And 4 Oaks Ln,78704
Jj Seabrook Dr,78721
Round Rock,
Walnut Ave & Hargrave St,95060
S Oak Dr And Overcup Oak,78704
Holly St & Chicon St,72761
William Cannon And Ih 35,78752
Rainey St And River St,78701
Haskell And Comal,78702
12115 Wander Ln,78750
3200 Santa Fe,78741
4003 Ayala in Travis,78725
2317 Pleasant Valley,78741
614 S 1St St #133,78704
Hunters Bend Rd And Fm 969,78724
11702 Garden Grove in Travis,78725
Jollyville/Oak Knoll,78759
600 W Grady,78753
1000 Ellingson,78751
1000 Barton Springs Road,78704
8814 Tallwood Dr,78759
5313 Spring Meadow Road,78744
6101 Derby Cove,78723
103 Oertli Ln,78753
710 E Ben White Blvd,78704
701 E Ben White,78704
2001 Parker Ln,78741
12601 Tech Ridge Blvd,78753
Turtle Ridge And Anderson Mill,78729
Northcrest Blvd And Prince Dr,78752
600 E 6Th,78701
S Hwy 183 And Von Quintus Rd,78747
6917 Tulsa Cv,78723
3300 Loyola Ln,78723
6717 Tulsa Cv,78723
6100 Jain Lane,78721
Bluff Springs,
Martinez & E 6Th,94553
Chicon & East 3Rd Street,
2110 W Slaughter,78748
1163 Nickols,78721
E St Elmo Rd And Freidrich Ln,78744
E Riverside Dr & Frontier Valley Dr,
6118 Fairway,78741
2903 Rr 620 North in Lakeway,78734
2404 Marcus Abrams Blvd,78748
East Martin Luther King Jr Blvd,
2313 Monarch Dr,78748
13204 Amarillo Ave,78729
4605 Dove Springs,78744
904 E Braker Ln,78753
E Stassney Ln And Palo Blanco Ln,78744
Holy St & Robert T Martinez,67337
Holly Street/Ih35,78702
20747 Fm 969 in Webberville,78621
Gunter,
6203 Dove Springs Cir,78744
Dove Springs,78744
Blackmule Dr.,78744
4312 Acropolis Ct,78759
11409 Lapoymar St in Manor,78653
South Lamar/Hwy 71,
3227 E 5Th,78702
12000 Hwy 290 E,78737
12700 Gregg Manor Rd in Manor,78653
Cesar Chavez And Tillery,78702
7Th And Tillery,78702
2610 Manor Rd,78722
16800 Littig Rd in Travis,
18011 Morrow St in Travis,
8106 Brodie Ln,78745
2406 Bluebonnet Ln,78704
1827 Coronado Hills Dr,78752
7245 Creekside Dr,78752
7200 Creekside Rd,78752
14817 Alpha Collier Dr in Travis,78728
Fm 1826 & Summervale Drive,78737
4716 Duval Rd,78727
Pleasant Valley And 2Nd St,78702
2400 E Oltorf,78741
6203 N Capital Of Texas Hw,78731
3706 Manorwood Rd,78723
Rowe Ln & Commons Pkwy in Pflugerville,78660
4501 Springdale Rd,78723
1201 Grove Blvd,78741
18608 White Rim Trl in Travis,78645
Alexandria Dr And Cattle,78749
12400 Paloma Blanca Way,78617
207 Tillery Square,78702
1212 Perez,78721
Mc Clannahan And Synder in Travis,78703
2712 Arroyo Blanco,78748
Frate Barker Rd,
W Cesar Chavez St,
Stassney Lane And Nuckols Crossing Road,78744
6100 Softwood Drive,78744
9100 Nuckols Crossing Rd,78744
11411 Gun Fight Ln,78748
8002 Rockwood Ln,78757
1205 E 13Th St,78702
Newning St And Annie St,78704
7204 Fred Morse Dr,78723
Loyolya And Decker Ln,78724
Colony Loop,78724
14303 Merrilltown Dr,78728
4801 S Ih 35,78744
Shelby Oak Ln And Oak Ledge Dr,78748
5200 S Scout Island Cir,78731
2504 Manor Rd #116,78722
4600 Molera Dr,78749
505 Swanee Dr Apt 102,78752
1109A Northcape Dr.,78753
West Ave And West 5Th,78703
333 E Slaughter Ln,78744
4410 Barrow Ave,78751
12345 Lamplight Village,78758
3208 Raspberry Rd in Travis,78748
100 E Anderson Ln,78752
6700 S 1St St,78745
901 W Ben White,78704
7104 Berkman Dr,78752
5129 Cameron Rd,78723
3800 S. 2Nd St,78704
Gaines Mill & Aldea,23111
East Austin,
1500 Barton Hills Dr,78704
9206 Spring Hollow Dr,78750
2114 W Slaughter Lane,78748
94 San Saba St,78702
6403 Johnny Morris Unit 10,78724
4520 Rimrock,78723
11336  Rimrock Trl,78737
4550 Avenue A,78751
Texas 45 And Escarpment Boulevard,78739
6900 Escarpment Blvd,78749
Vanderbielt And 290,
11102 Centennial Trail,78726
1908 Albury Cv,78758
Dk Ranch & Barrington Way,14847
W Koenig Ln & Burnet Rd,
620/183,78741
1000 Barton Springs Rd,78704
1816 E 6Th St,78702
Banister Road And Southport Drive,78704
W William Cannon Dr And Brush Country Rd,78749
Perez Street And East 16Th,78721
401 Little Texas Ln,78745
Glenhollow & Flournoy,41001
4900 E Oltorf,78741
13509 Windstone Court in Manor,78653
14707 Noya Dr in Travis,78728
Watson Street And Stobaugh Street,78757
13429 Dulles Avenue,78729
1706 Maple Ave,78702
Woodland Village Dr,78750
1200 Vargas,78741
12931 Heyerdahl in Pflugerville,78753
814 Sheraton Ave,78745
1156 W Cesar Chavez St,78703
12Th /Oltorf,78741
2915 Aftonshire Way,78748
Fm 2222/ Mesa,78746
E 51St St And Cameron Rd,78723
1415 Vargas,78741
508 E Howard Ln,78753
5508 Cordell Ln,78723
4405 E Riverside,78741
14709 Foy Dr in Travis,78734
5805 Median Rd. in Travis,78734
8801 S Ih 35,78744
5409 Ponciana Drive,78744
East Riverside Dr And S Lakeshore Blvd,78741
614 Commons Ford Road,78733
9345 E 290 in Travis,78724
Manchaca Rd And Beauregard Cir,78745
